id,face,im,hemifield,response,rt,correct,location,radius,angle,cols,pch,col1,angle2,group,gcol
o3,71,Intact,LVF,right,2.520535,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,51,Mirror reversed,LVF,left,1.4124,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,54,Mirror reversed,LVF,right,1.13436,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
j63,4,Intact,RVF,R,2.52,0,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,49,Mirror reversed,RVF,L,4.73,1,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,79,Intact,RVF,R,2.48,0,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,4,Intact,LVF,R,1.87,0,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,81,Mirror reversed,RVF,L,4.33,1,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,62,Intact,LVF,R,6.33,0,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,58,Mirror reversed,RVF,R,2.18,0,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,66,Intact,RVF,R,2.69,0,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,20,Intact,LVF,L,5.1,1,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,31,Intact,RVF,R,2.79,0,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,81,Mirror reversed,LVF,R,2.97,0,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,81,Intact,RVF,L,1.67,1,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,80,Mirror reversed,LVF,R,4.9,0,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,71,Intact,RVF,R,2.18,0,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,49,Intact,LVF,L,3.32,1,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,77,Mirror reversed,RVF,L,5.75,1,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
j63,22,Mirror reversed,RVF,L,4.66,1,jesup,0.915302014,56.88865803,#EB7A05,21,#666666,0.264192401,3. Arabic,#F21A00
