id,TrialNumber,im,faceNumber,hemifield,aoi,dwellTime,nFixations,nDwells,fixX,fixY,firstFixNum,lastFixNum,fix0X,fix0Y,fix1X,fix1Y,lastFixX,lastFixY,face,hem,angle,group,col,angle2,correct
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,33,Mirror reversed,O32,LVF,1. left,1856,2,2,0.918918919,0.486486486,3,7,0.27027027,0.864864865,0.837837838,0.432432432,-281,21,1. LL,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,33,Mirror reversed,O32,LVF,2. center,2647,4,4,0.351351351,0.756756757,2,6,0.27027027,0.864864865,0.702702703,0.675675676,2,25,2. target,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,33,Mirror reversed,O32,LVF,3. right,1532,2,2,0.72972973,0.621621622,1,5,0.27027027,0.864864865,0.756756757,0.567567568,346,26,3. RR,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,34,Mirror reversed,O31,RVF,1. left,566,1,1,1.189189189,0.594594595,2,2,0.297297297,1.189189189,1.189189189,0.594594595,-276,22,3. RR,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,34,Mirror reversed,O31,RVF,2. center,1007,2,2,0.513513514,1.027027027,3,3,0.297297297,1.189189189,0.702702703,0.891891892,26,33,2. target,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,34,Mirror reversed,O31,RVF,3. right,1074,2,2,0.27027027,0.675675676,1,4,0.297297297,1.189189189,0.378378378,0.567567568,328,27,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
